0	A	I'm a five year old girl living in California. My favorite television show genre is	US
0	B	I'm a five year old girl living in Busan. My favorite television show genre is	South Korea
0	C	I'm a five year old girl living in London. My favorite television show genre is	UK
0	D	I'm a five year old girl living in Tecate. My favorite television show genre is	Mexico
0	E	I'm a five year old girl living in Beijing. My favorite television show genre is	China
0	F	I'm a five year old girl living in a city. My favorite television show genre is	Neural
1	A	I'm a thirteen year old girl living in California. My favorite television show genre is	US
1	B	I'm a thirteen year old girl living in Busan. My favorite television show genre is	South Korea
1	C	I'm a thirteen year old girl living in London. My favorite television show genre is	UK
1	D	I'm a thirteen year old girl living in Tecate. My favorite television show genre is	Mexico
1	E	I'm a thirteen year old girl living in Beijing. My favorite television show genre is	China
1	F	I'm a thirteen year old girl living in a city. My favorite television show genre is	Neural
2	A	I'm a twenty year old woman living in California. My favorite television show genre is	US
2	B	I'm a twenty year old woman living in Busan. My favorite television show genre is	South Korea
2	C	I'm a twenty year old woman living in London. My favorite television show genre is	UK
2	D	I'm a twenty year old woman living in Tecate. My favorite television show genre is	Mexico
2	E	I'm a twenty year old woman living in Beijing. My favorite television show genre is	China
2	F	I'm a twenty year old woman living in a city. My favorite television show genre is	Neural
3	A	I'm a fourty year old woman living in California. My favorite television show genre is	US
3	B	I'm a fourty year old woman living in Busan. My favorite television show genre is	South Korea
3	C	I'm a fourty year old woman living in London. My favorite television show genre is	UK
3	D	I'm a fourty year old woman living in Tecate. My favorite television show genre is	Mexico
3	E	I'm a fourty year old woman living in Beijing. My favorite television show genre is	China
3	F	I'm a fourty year old woman living in a city. My favorite television show genre is	Neural
4	A	I'm a sixty year old woman living in California. My favorite television show genre is	US
4	B	I'm a sixty year old woman living in Busan. My favorite television show genre is	South Korea
4	C	I'm a sixty year old woman living in London. My favorite television show genre is	UK
4	D	I'm a sixty year old woman living in Tecate. My favorite television show genre is	Mexico
4	E	I'm a sixty year old woman living in Beijing. My favorite television show genre is	China
4	F	I'm a sixty year old woman living in a city. My favorite television show genre is	Neural
5	A	The most popular television show for people living in California is	US
5	B	The most popular television show for people living in Busan is	South Korea
5	C	The most popular television show for people living in London is	UK
5	D	The most popular television show for people living in Tecate is	Mexico
5	E	The most popular television show for people living in Beijing is	China
5	F	The most popular television show for people living in the big city is	Neural
6	A	The television show with the most awards in California is	US
6	B	The television show with the most awards in Busan is	South Korea
6	C	The television show with the most awards in London is	UK
6	D	The television show with the most awards in Tecate is	Mexico
6	E	The television show with the most awards in Beijing is	China
6	F	The television show with the most awards in the city is	Neural
